Review ID,Tourist Spot,Review Text,Rating,Sentiment,Visitor Interaction,Digital Services Rating,Infrastructure Rating,Visitor Type,Date,Visitor Location,Feedback Keywords,Visitor Engagement,Digital Transformation Index,Sentiment Score,Behavioral Data
43,Statue of Liberty,Size moment weight reveal fall national story smile.,3,Positive,6,3.4,4.2,Group,2020-08-15,"Dianetown, Georgia","breathtaking, mobile, app",144,1.9,0.23,Occasional Visitor
44,Statue of Liberty,List difference step because service total.,2,Negative,27,1.7,3.5,Group,2020-09-10,"New Matthew, Guernsey","guides, tracking, help",163,2.1,-0.91,Occasional Visitor
45,Statue of Liberty,Want operation trade for space.,3,Negative,8,1.7,1.4,Family,2020-03-07,"Robertfurt, Montenegro","ticket, hike, breathtaking",175,4.3,-0.24,First-time Visitor
46,Grand Canyon,Record already who remember effort entire technology my know senior certain accept sound fill.,4,Negative,4,2.2,1.9,Solo,2024-12-12,"Katherinechester, Cape Verde","tracking, long lines, view",164,2.8,0.8,First-time Visitor
47,Great Wall,Break water later than.,4,Positive,29,3.4,3.8,Solo,2021-12-01,"North Jasonville, Sudan","help, view, breathtaking",116,2.8,-0.77,Occasional Visitor
48,Machu Picchu,South right floor organization player democratic line seat indicate.,4,Negative,41,3.8,1.9,Solo,2020-02-29,"Chelseaview, Togo","view, guides, help",175,3.4,-0.42,First-time Visitor
49,Machu Picchu,Maintain himself practice ago develop result civil body item.,5,Negative,46,3.1,3.4,Family,2020-03-26,"Ryanville, Angola","guides, stunning, help",152,1.3,0.81,Frequent Visitor
50,Great Wall,Inside once student suddenly staff alone old hit hope president baby use ability start modern drop.,3,Negative,4,4.8,3.9,Group,2020-03-08,"North Elizabeth, Italy","view, breathtaking, ticket",190,5.0,0.32,Frequent Visitor
51,Great Wall,Ability nor success Congress begin store war well because year free information heavy.,5,Positive,21,3.3,3.4,Family,2020-08-07,"North Erica, Rwanda","breathtaking, long lines, crowded",117,1.1,0.83,Frequent Visitor
52,Eiffel Tower,Road down lose miss service economic wrong business keep work national others significant none training product have.,4,Positive,7,1.6,2.8,Solo,2023-08-30,"South Jason, Jamaica","view, long lines, mobile",30,2.8,-0.34,First-time Visitor
53,Grand Canyon,War others course show common food eat way him though phone involve improve garden prepare.,3,Negative,35,3.7,2.7,Couple,2020-09-06,"Carrburgh, Angola","hike, ticket, long lines",174,3.6,-0.65,Occasional Visitor
54,Grand Canyon,Pattern father very news.,1,Positive,18,4.2,3.4,Solo,2020-08-09,"Lake Julie, Iran","help, stunning, tracking",47,4.6,-0.22,Frequent Visitor
55,Eiffel Tower,Class major shoulder east war another join word.,2,Negative,13,1.2,3.2,Family,2021-07-08,"Burnsmouth, Taiwan","view, stunning, breathtaking",171,2.9,-0.54,Occasional Visitor
56,Great Wall,Smile myself image compare society live.,1,Positive,42,1.4,2.9,Solo,2020-09-27,"Floresstad, Iraq","tracking, ticket, guides",184,3.8,0.84,First-time Visitor
57,Statue of Liberty,Air ground run trade beat prevent bed health sell establish production perform just dog ability.,3,Positive,40,4.2,3.2,Couple,2023-06-14,"New Deborah, Korea","help, mobile, app",45,1.3,-0.2,Occasional Visitor
58,Grand Canyon,Doctor him star authority western.,4,Positive,48,1.6,2.4,Family,2023-07-04,"Colebury, Guyana","mobile, breathtaking, hike",167,2.4,-0.69,First-time Visitor
59,Grand Canyon,Set role science paper tonight sound matter protect describe head.,4,Positive,2,2.4,2.3,Family,2021-02-12,"Walkerburgh, Portugal","app, breathtaking, mobile",44,4.8,0.2,Frequent Visitor
60,Statue of Liberty,Audience religious political nothing impact.,3,Positive,22,2.6,4.3,Group,2020-09-26,"Lake Malikstad, Costa Rica","app, help, crowded",50,2.1,0.24,First-time Visitor
61,Machu Picchu,Would traditional someone work support its.,2,Positive,44,2.8,1.6,Group,2020-11-29,"North Bradley, Lithuania","tracking, mobile, stunning",81,2.0,-0.48,Frequent Visitor
62,Eiffel Tower,Him civil nature water than itself police still American require whole drop.,4,Negative,21,3.6,4.4,Solo,2020-10-11,"South Jenniferville, Micronesia","hike, crowded, breathtaking",112,4.6,0.84,Occasional Visitor
63,Statue of Liberty,Suddenly mention possible body check own study subject available something certain discuss because since.,1,Positive,46,1.8,3.0,Family,2023-11-05,"Port Mariamouth, Nauru","long lines, tracking, guides",168,1.1,0.36,Frequent Visitor
64,Grand Canyon,Show once forget wall note take president must wait hear issue feel explain cold argue.,2,Positive,11,1.7,3.1,Solo,2023-07-05,"Port Patriciaburgh, Djibouti","ticket, long lines, crowded",192,3.4,0.42,First-time Visitor
65,Grand Canyon,Century building trip else security color suffer former.,4,Negative,38,2.2,1.7,Family,2022-06-22,"Charlesfort, Bhutan","breathtaking, tracking, help",174,2.7,0.8,Occasional Visitor
66,Grand Canyon,Their mind none learn fear simple interesting quality.,3,Negative,47,1.7,2.6,Family,2020-10-09,"Lake Heather, Rwanda","stunning, crowded, help",127,4.1,-0.38,Occasional Visitor
67,Grand Canyon,Brother sign her scientist daughter step.,1,Positive,24,4.4,2.6,Group,2021-12-18,"Gonzalezside, Tuvalu","crowded, hike, stunning",120,1.5,0.88,Frequent Visitor
68,Statue of Liberty,Production power tax decision say southern ago father trial while worker contain sit kid.,3,Negative,34,2.7,3.6,Group,2024-06-03,"West Matthewfurt, Dominica","view, app, guides",30,2.6,0.31,First-time Visitor
69,Eiffel Tower,Film feeling season important security send couple program least bag high group especially might.,4,Positive,1,3.9,3.3,Solo,2022-12-26,"North Brianstad, Australia","breathtaking, app, stunning",108,3.6,0.83,Occasional Visitor
70,Eiffel Tower,Lawyer yet strong compare whatever my door less rather try general.,2,Negative,43,1.6,1.3,Group,2023-10-10,"Lake Emilychester, Tanzania","guides, tracking, view",185,2.2,-0.18,Occasional Visitor
71,Grand Canyon,Third choose beyond care least Mr.,4,Negative,26,3.2,2.9,Solo,2021-01-23,"Merrittmouth, Singapore","tracking, help, crowded",132,3.8,-0.98,Occasional Visitor
72,Statue of Liberty,Stage few drug care idea with must.,4,Positive,27,4.1,4.9,Group,2023-11-07,"Oconnorview, Kiribati","long lines, crowded, help",137,2.2,0.65,Frequent Visitor
73,Grand Canyon,Page hope with institution near professional still enough up side involve.,5,Negative,43,1.0,1.3,Group,2020-02-29,"South Robert, Libyan Arab Jamahiriya","hike, stunning, mobile",166,1.9,-0.25,Occasional Visitor
74,Grand Canyon,Her plant pass send yard thought Republican bit total.,4,Positive,43,1.6,4.0,Couple,2024-03-16,"West Gerald, Cote d'Ivoire","hike, crowded, long lines",153,4.2,0.69,First-time Visitor
75,Great Wall,Someone medical usually thing sell prove war that class that can from message option coach yes process.,2,Negative,4,1.4,3.1,Couple,2021-09-05,"Jonesfurt, Isle of Man","tracking, app, stunning",29,3.0,-0.62,Occasional Visitor
76,Machu Picchu,Begin car know family near west level staff former.,1,Negative,5,3.2,2.2,Family,2023-01-03,"North Dorismouth, Reunion","ticket, view, mobile",122,2.6,0.56,Frequent Visitor
77,Machu Picchu,Activity itself season young along remember child dark enjoy will political enough exist medical.,3,Negative,13,2.6,4.0,Solo,2021-05-01,"New Diana, Saudi Arabia","app, ticket, crowded",180,4.1,-0.49,Frequent Visitor
78,Eiffel Tower,Cell every end or.,3,Negative,49,1.8,2.8,Family,2022-04-26,"Wheelerbury, Liberia","mobile, app, ticket",130,4.9,-0.98,First-time Visitor
79,Machu Picchu,Tree force at various drop.,5,Negative,33,2.9,2.9,Solo,2023-05-05,"Philipport, Turkey","ticket, mobile, crowded",191,3.3,0.39,First-time Visitor
80,Eiffel Tower,Reason report hour human imagine boy.,2,Positive,10,2.5,1.6,Solo,2020-04-08,"Ortizfort, Bahrain","crowded, mobile, breathtaking",26,4.5,-0.92,First-time Visitor
81,Machu Picchu,Than friend young speech cell cold system.,4,Positive,47,2.9,3.3,Solo,2020-07-04,"Jeremyberg, Jamaica","view, help, stunning",75,4.9,0.53,Frequent Visitor
82,Eiffel Tower,All as less project great there population information student every after.,1,Negative,18,2.0,3.5,Family,2023-05-20,"New Rhondaborough, Kenya","guides, breathtaking, help",165,1.2,-0.74,Occasional Visitor
83,Grand Canyon,Mother instead thing college their guy Democrat day read.,5,Positive,6,4.7,3.3,Couple,2023-03-21,"New Mariafurt, Guyana","view, stunning, crowded",66,4.0,0.38,Frequent Visitor
84,Machu Picchu,Class network garden exist drive exactly marriage garden down network.,3,Negative,12,2.6,2.7,Solo,2021-01-22,"Watersberg, British Virgin Islands","view, ticket, breathtaking",26,3.3,-0.86,First-time Visitor
85,Statue of Liberty,Evening Republican behavior situation word green decide thank international dream religious crime.,3,Negative,29,2.3,4.1,Family,2020-02-19,"Ashleychester, Myanmar","tracking, help, mobile",181,4.1,-0.77,First-time Visitor
86,Great Wall,Reflect for interesting apply order improve necessary southern.,3,Negative,3,4.7,4.0,Group,2022-01-02,"Lake Jessicatown, Taiwan","crowded, help, view",104,1.3,-0.68,Occasional Visitor
87,Machu Picchu,Including room yard prepare left long reduce who meet mind gun whatever bag.,4,Negative,18,2.6,2.1,Group,2023-08-03,"New Michaelland, Oman","guides, tracking, ticket",45,1.3,0.58,Occasional Visitor
88,Eiffel Tower,Watch office interest soon Republican.,4,Positive,39,2.3,4.0,Couple,2024-10-07,"Jasonborough, Estonia","hike, guides, view",94,2.7,-0.87,Occasional Visitor
89,Statue of Liberty,Fear although training experience job avoid at base relate.,4,Negative,13,2.1,5.0,Solo,2023-08-09,"Lake Amyside, Macao","ticket, app, long lines",125,1.6,0.07,Occasional Visitor
90,Eiffel Tower,Direction break good change customer spring mind hair represent billion Mrs then benefit me about management mother resource.,4,Positive,45,3.7,2.5,Solo,2024-10-30,"Lake Douglasburgh, Mayotte","mobile, help, long lines",27,1.8,-0.67,Occasional Visitor
91,Grand Canyon,Upon heavy newspaper suggest citizen interview administration kind mind purpose their political road check three large claim a.,4,Positive,33,4.5,3.2,Family,2020-04-19,"Freyhaven, Congo","view, tracking, long lines",136,4.9,0.48,Frequent Visitor
92,Statue of Liberty,Room important population law.,3,Negative,27,3.4,2.5,Couple,2020-03-11,"Kellyport, Cape Verde","hike, view, mobile",84,4.1,0.91,Occasional Visitor
93,Statue of Liberty,Body hard glass its expert add customer.,1,Positive,12,3.1,4.8,Group,2024-07-15,"Port Josebury, Uganda","long lines, hike, crowded",111,5.0,0.43,Frequent Visitor
94,Grand Canyon,Discussion born region fight.,3,Negative,41,2.4,1.5,Couple,2020-08-29,"West John, Nauru","help, view, mobile",194,4.3,0.39,Frequent Visitor
95,Eiffel Tower,Sea painting continue party alone strategy commercial real story run hear control present career north mind save resource.,4,Negative,48,3.7,2.6,Family,2022-10-31,"South Julian, Marshall Islands","ticket, app, hike",108,1.1,-0.43,Frequent Visitor
96,Machu Picchu,Method once how decide hold respond investment to alone black figure enter entire serve reflect material.,2,Positive,1,4.9,1.8,Couple,2023-10-04,"Port Adam, Jamaica","help, long lines, tracking",110,4.7,-0.43,Frequent Visitor
97,Great Wall,Major million investment good traditional paper lay.,3,Positive,20,1.1,1.4,Family,2023-10-09,"Osbornfurt, Liechtenstein","app, stunning, crowded",83,3.9,0.71,Frequent Visitor
98,Grand Canyon,Fly class outside while staff the I good nation time much front.,1,Negative,18,4.5,2.2,Couple,2020-11-14,"Morganland, Venezuela","stunning, breathtaking, app",90,2.3,-0.48,Frequent Visitor
99,Grand Canyon,Church suddenly very book establish project citizen phone.,3,Positive,36,1.7,4.5,Couple,2020-01-03,"Louisville, Cape Verde","stunning, guides, help",134,1.4,0.52,First-time Visitor
100,Grand Canyon,Pick pressure wonder evening member sound sense.,4,Positive,23,1.9,4.1,Group,2024-02-29,"Snydershire, Fiji","stunning, ticket, app",32,2.6,-0.21,Frequent Visitor
101,Machu Picchu,Center difficult onto account top save discuss score data even trip improve difference note source season budget enjoy.,4,Negative,8,2.4,4.9,Solo,2023-01-20,"Port Deborahborough, Bangladesh","app, breathtaking, crowded",103,3.8,0.77,First-time Visitor
102,Great Wall,Attack manage lay writer financial several effort yes eight.,2,Positive,22,3.0,4.9,Solo,2021-04-26,"Whiteburgh, Brunei Darussalam","help, long lines, hike",137,3.7,-0.6,First-time Visitor
103,Great Wall,Increase mission place field north nice cup management continue these send.,5,Positive,30,1.0,3.2,Family,2022-08-27,"North Timothy, Solomon Islands","tracking, breathtaking, mobile",198,4.2,-0.83,Frequent Visitor
104,Great Wall,Market everything put fine central story apply people like represent ten media technology loss education minute election agent among weight.,2,Positive,37,3.4,2.4,Solo,2024-07-25,"North Alexandra, Suriname","stunning, mobile, help",182,2.5,0.69,Occasional Visitor
105,Great Wall,Move large would view enjoy hair.,5,Negative,45,2.6,1.9,Solo,2023-12-30,"Michaelland, Lithuania","stunning, guides, help",87,2.9,-0.6,Frequent Visitor
106,Statue of Liberty,Buy table cup similar.,2,Negative,6,1.3,4.6,Solo,2023-03-09,"Port Tonya, Bangladesh","help, long lines, stunning",61,4.4,0.04,Frequent Visitor
107,Eiffel Tower,Early around finish fish deal site ten trade garden.,1,Positive,37,1.9,2.1,Group,2021-11-21,"Port William, China","tracking, view, stunning",73,1.7,-0.93,First-time Visitor
108,Great Wall,Artist create assume remain billion public paper hope ground speak sound beat.,5,Positive,30,3.0,4.1,Solo,2021-02-04,"Hicksport, Marshall Islands","app, ticket, crowded",162,2.2,-0.04,Frequent Visitor
109,Eiffel Tower,Occur eat challenge reason company fill may find end forget shake Mr prove.,5,Negative,6,1.2,3.5,Couple,2024-07-02,"New Jeff, Mauritania","hike, mobile, tracking",160,1.7,-0.78,First-time Visitor
110,Eiffel Tower,Determine school cold they position finish physical necessary.,3,Positive,8,2.2,3.7,Family,2022-09-18,"Paigeport, Kuwait","hike, breathtaking, tracking",185,2.7,-0.92,Occasional Visitor
111,Great Wall,Try focus sound per without occur focus.,2,Positive,6,1.4,3.7,Family,2022-03-14,"New Cassidychester, Canada","app, help, tracking",102,2.0,-0.22,First-time Visitor
112,Statue of Liberty,Represent executive particular month safe address design visit marriage consumer both one.,5,Negative,12,2.5,3.5,Couple,2024-05-22,"Port Pamville, Guadeloupe","app, ticket, help",122,1.4,-0.83,Occasional Visitor
113,Machu Picchu,Travel actually us woman go hot political evening authority east.,5,Positive,47,1.7,3.5,Solo,2022-08-17,"North Laurachester, Czech Republic","help, stunning, mobile",109,2.0,0.39,First-time Visitor
114,Statue of Liberty,Student song standard world its remain fact attack respond sell respond bank.,1,Negative,6,1.6,3.0,Couple,2023-02-23,"New Jennifer, Honduras","app, guides, mobile",64,1.8,-0.87,First-time Visitor
115,Grand Canyon,Son yes school space last experience television be dinner left executive yeah still away character east.,1,Positive,12,2.2,3.1,Solo,2021-11-04,"North Debraville, Zambia","breathtaking, guides, stunning",147,2.4,-0.13,First-time Visitor
116,Eiffel Tower,Hand knowledge suggest religious term mean rock reason shake happen paper different kitchen sing likely why create work city.,4,Positive,21,3.7,1.9,Family,2020-09-23,"Douglaschester, Switzerland","stunning, view, app",42,3.6,-0.26,Occasional Visitor
117,Statue of Liberty,Better affect risk attention glass bar involve term contain quickly east prove.,1,Negative,38,2.9,2.6,Couple,2022-11-03,"Riverafurt, Puerto Rico","tracking, crowded, view",105,1.3,0.48,Frequent Visitor
118,Great Wall,Rest others color wide significant less live rather.,3,Negative,41,2.0,4.0,Solo,2022-05-20,"Alexandertown, Finland","mobile, view, long lines",110,2.8,-0.12,First-time Visitor
119,Eiffel Tower,Success behind cultural able education resource political quite leg table edge best ball time.,3,Negative,2,4.8,2.1,Solo,2022-11-28,"South Stuarttown, Malaysia","ticket, help, mobile",177,1.4,0.54,First-time Visitor
120,Grand Canyon,Sound sign send third rule she fight this surface early treat.,5,Negative,50,1.7,4.7,Solo,2022-07-11,"South Carolineside, Gambia","guides, ticket, stunning",157,2.0,0.33,Frequent Visitor
121,Grand Canyon,Already professor under service choose she significant per oil create travel team try.,1,Negative,11,2.6,1.6,Group,2023-05-03,"Garciafort, Ukraine","breathtaking, long lines, app",78,4.5,0.01,Occasional Visitor
122,Eiffel Tower,Return sense hope create stand employee agreement yes region property.,1,Negative,1,3.1,4.5,Group,2021-04-02,"Angelaview, Tuvalu","hike, ticket, long lines",101,1.2,0.95,Frequent Visitor
123,Grand Canyon,Among want pick mention store sound.,5,Negative,14,1.4,2.6,Couple,2022-05-29,"West Natalie, Kazakhstan","hike, stunning, tracking",98,3.2,0.54,Frequent Visitor
124,Statue of Liberty,Sign money suddenly into last week.,2,Positive,41,4.2,1.0,Couple,2023-02-17,"East Kimberlyborough, Sri Lanka","long lines, guides, tracking",45,3.7,0.45,Frequent Visitor
125,Eiffel Tower,Effort public but city break green if easy food reflect.,3,Positive,24,2.4,4.3,Family,2021-11-22,"Griffinfurt, Christmas Island","breathtaking, long lines, view",43,1.4,-0.91,First-time Visitor
126,Statue of Liberty,Foreign be within top team vote peace last.,5,Positive,30,3.9,4.1,Couple,2024-11-23,"Rodriguezhaven, Mexico","ticket, help, breathtaking",183,1.0,-0.97,Frequent Visitor
127,Great Wall,Build line environment particular school question choose end tree their however enjoy into.,2,Positive,6,3.6,3.6,Solo,2023-11-19,"South Rachel, Malaysia","crowded, stunning, help",123,4.9,-0.69,Occasional Visitor
128,Grand Canyon,Station else blue maybe indeed around issue ask season myself.,2,Positive,47,2.6,3.7,Group,2020-11-23,"East Thomastown, Lesotho","guides, stunning, long lines",100,1.1,0.72,Occasional Visitor
129,Eiffel Tower,Exist prepare eat chance need foreign sea into throw set appear ball fill bit next chair.,5,Negative,16,4.2,1.4,Couple,2024-04-26,"North Kristen, Congo","crowded, long lines, view",179,2.3,-0.5,First-time Visitor
130,Eiffel Tower,Low space indeed top material improve everything bring record turn computer.,4,Positive,20,1.6,3.3,Group,2024-02-09,"Johnsonhaven, Spain","help, view, mobile",147,2.2,-0.65,Frequent Visitor
131,Statue of Liberty,State range yourself name stock section effect history attention door kid.,2,Negative,44,1.5,2.7,Couple,2023-09-27,"West Mia, New Zealand","hike, breathtaking, view",183,4.2,-0.08,Occasional Visitor
132,Machu Picchu,Seem capital idea together off face attorney allow charge.,3,Positive,42,3.0,2.7,Group,2020-10-04,"Davisshire, Holy See (Vatican City State)","crowded, help, hike",67,3.3,0.8,Occasional Visitor
133,Eiffel Tower,Live member kitchen trade team win group need good reality because issue room.,2,Positive,13,3.7,1.8,Solo,2023-02-01,"Kevinhaven, Liberia","stunning, long lines, hike",117,2.5,-0.89,Occasional Visitor
134,Statue of Liberty,Which identify poor easy girl thus visit occur look station minute.,3,Negative,48,1.0,1.1,Couple,2024-07-21,"Brooksstad, Jordan","tracking, ticket, breathtaking",71,1.3,-0.24,First-time Visitor
135,Eiffel Tower,Husband detail word save quality official.,3,Negative,49,3.6,1.9,Solo,2021-07-20,"Hansonland, Puerto Rico","guides, help, breathtaking",87,1.7,0.89,Occasional Visitor
136,Great Wall,Together black be loss phone black specific general suggest.,4,Negative,48,3.7,3.4,Group,2020-12-13,"Dayburgh, Chad","hike, stunning, tracking",144,3.5,0.01,First-time Visitor
137,Great Wall,Event human section a note its relationship buy.,2,Negative,9,2.7,3.0,Family,2024-07-11,"Cherylfurt, Portugal","mobile, tracking, stunning",109,3.0,-0.55,Occasional Visitor
